Dest,DrivingMiles,EuclidMiles,Orig
SHAY,0,29.297565264506595,BALB
SSAN,0,4.9645220633749805,BALB
UCTY,0,33.00940900805015,BALB
WCRK,0,26.95479029330347,BALB
WDUB,0,34.45992287065179,BALB
WOAK,0,11.532202304023,BALB
12TH,0,10.852638198951052,BAYF
16TH,0,19.988331962670586,BAYF
19TH,0,11.175127708603027,BAYF
24TH,0,20.87421899934618,BAYF
ASHB,0,14.298469762081762,BAYF
BALB,0,23.50824997773605,BAYF
BAYF,0,0,BAYF
CAST,0,2.8463589543374535,BAYF
CIVC,0,18.93902636916378,BAYF
COLS,0,5.502999659311927,BAYF
COLM,0,26.612202773525482,BAYF
CONC,0,30.160869606680695,BAYF
DALY,0,25.122431506275262,BAYF
DBRK,0,15.463971672191528,BAYF
DUBL,0,12.477174421140898,BAYF
DELN,0,20.3770256750135,BAYF
PLZA,0,18.53426439730455,BAYF
EMBR,0,17.624694545180553,BAYF
FRMT,0,12.761763029747327,BAYF
FTVL,0,7.570477017952204,BAYF
GLEN,0,22.45856790599216,BAYF
HAYW,0,2.821252880456518,BAYF
LAFY,0,21.821341227250844,BAYF
LAKE,0,10.314777688251173,BAYF
MCAR,0,12.59549845173615,BAYF
MLBR,0,33.93287000278962,BAYF
MONT,0,17.986649029367843,BAYF
NBRK,0,16.35405293532545,BAYF
NCON,0,32.21284356419998,BAYF
ORIN,0,18.382211025293472,BAYF
PITT,0,36.68008898473669,BAYF
PHIL,0,26.705858211524827,BAYF
POWL,0,18.40558222380357,BAYF
RICH,0,22.485403787919683,BAYF
ROCK,0,13.995084310419406,BAYF
SBRN,0,30.85829108101259,BAYF
SFIA,0,32.84159871785955,BAYF
SANL,0,2.5763742671374072,BAYF
SHAY,0,5.789315286770673,BAYF
SSAN,0,28.472772041111032,BAYF
UCTY,0,9.50115903031423,BAYF
WCRK,0,25.015896712740034,BAYF
WDUB,0,10.951672892915862,BAYF
WOAK,0,11.976047673712845,BAYF
12TH,0,13.698997153288467,CAST
16TH,0,22.834690917008,CAST
19TH,0,14.021486662940442,CAST
24TH,0,23.720577953683595,CAST
ASHB,0,17.144828716419177,CAST
BALB,0,26.354608932073464,CAST
BAYF,0,2.8463589543374153,CAST
CAST,0,0,CAST
CIVC,0,21.785385323501195,CAST
COLS,0,8.349358613649342,CAST
COLM,0,29.458561727862897,CAST
CONC,0,33.00722856101811,CAST
DALY,0,27.968790460612677,CAST
DBRK,0,18.310330626528945,CAST
DUBL,0,9.630815466803444,CAST
DELN,0,23.223384629350917,CAST
PLZA,0,21.38062335164197,CAST
EMBR,0,20.471053499517968,CAST
FRMT,0,15.608121984084741,CAST
FTVL,0,10.416835972289618,CAST
GLEN,0,25.304926860329576,CAST
HAYW,0,5.667611834793933,CAST
LAFY,0,24.667700181588256,CAST
LAKE,0,13.161136642588588,CAST
MCAR,0,15.441857406073565,CAST
MLBR,0,36.77922895712703,CAST
MONT,0,20.833007983705258,CAST
NBRK,0,19.200411889662867,CAST
NCON,0,35.05920251853739,CAST
ORIN,0,21.228569979630883,CAST
PITT,0,39.5264479390741,CAST
PHIL,0,29.55221716586224,CAST
POWL,0,21.251941178140985,CAST
RICH,0,25.3317627422571,CAST
ROCK,0,16.84144326475682,CAST
SBRN,0,33.70465003535001,CAST
SFIA,0,35.68795767219696,CAST
SANL,0,5.4227332214748225,CAST
SHAY,0,8.635674241108088,CAST
SSAN,0,31.319130995448447,CAST
UCTY,0,12.347517984651645,CAST
WCRK,0,27.862255667077445,CAST
WDUB,0,8.105313938578409,CAST
WOAK,0,14.82240662805026,CAST
12TH,0,8.222308170942576,CIVC
16TH,0,1.0493055935068065,CIVC
19TH,0,8.54479768059455,CIVC
24TH,0,1.9351926301824007,CIVC
ASHB,0,11.668139734073286,CIVC
BALB,0,4.569223608572271,CIVC
BAYF,0,18.93902636916401,CIVC
CAST,0,21.785385323501465,CIVC
CIVC,0,0,CIVC
COLS,0,13.436026709852063,CIVC
COLM,0,7.673176404361701,CIVC
CONC,0,27.53053957867222,CIVC
DALY,0,6.1834051371114835,CIVC
DBRK,0,12.833641644183052,CIVC
DUBL,0,31.41620079030491,CIVC
DELN,0,17.746695647005026,CIVC
PLZA,0,15.903934369296076,CIVC
EMBR,0,1.3143318239833828,CIVC
FRMT,0,31.70078939891134,CIVC
FTVL,0,11.368549351211659,CIVC
GLEN,0,3.519541536828383,CIVC
HAYW,0,21.76027924962053,CIVC
LAFY,0,19.191011199242368,CIVC
LAKE,0,8.624248680912736,CIVC
MCAR,0,9.965168423727674,CIVC
MLBR,0,14.993843633625836,CIVC
MONT,0,0.9523773397960829,CIVC
NBRK,0,13.723722907316974,CIVC
NCON,0,29.5825135361915,CIVC
ORIN,0,15.751880997284996,CIVC
PITT,0,34.04975895672821,CIVC
PHIL,0,24.07552818351635,CIVC
POWL,0,0.5334441453602067,CIVC
RICH,0,19.85507375991121,CIVC
ROCK,0,11.36475428241093,CIVC
SBRN,0,11.91926471184881,CIVC
SFIA,0,13.902572348695763,CIVC
SANL,0,16.36265210202647,CIVC
SHAY,0,24.728341655934685,CIVC
SSAN,0,9.533745671947251,CIVC
UCTY,0,28.440185399478242,CIVC
WCRK,0,22.385566684731558,CIVC
WDUB,0,29.890699262079874,CIVC
WOAK,0,6.962978695451087,CIVC
12TH,0,5.349638539639126,COLS
16TH,0,14.485332303358662,COLS
19TH,0,5.6721280492911,COLS
24TH,0,15.371219340034257,COLS
ASHB,0,8.795470102769835,COLS
BALB,0,18.005250318424128,COLS
BAYF,0,5.50299965931195,COLS
CAST,0,8.349358613649404,COLS
CIVC,0,13.436026709851856,COLS
COLS,0,0,COLS
COLM,0,21.10920311421356,COLS
CONC,0,24.657869947368766,COLS
DALY,0,19.61943184696334,COLS
DBRK,0,9.960972012879601,COLS
DUBL,0,17.980174080452848,COLS
DELN,0,14.874026015701576,COLS
PLZA,0,13.031264737992625,COLS
EMBR,0,12.121694885868628,COLS
FRMT,0,18.26476268905928,COLS
FTVL,0,2.067477358640277,COLS
GLEN,0,16.95556824668024,COLS
HAYW,0,8.324252539768468,COLS
LAFY,0,16.318341567938916,COLS
LAKE,0,4.811778028939246,COLS
MCAR,0,7.092498792424222,COLS
MLBR,0,28.429870343477695,COLS
MONT,0,12.48364937005592,COLS
NBRK,0,10.851053276013523,COLS
NCON,0,26.709843904888046,COLS
ORIN,0,12.879211365981543,COLS
PITT,0,31.177089325424763,COLS
PHIL,0,21.2028585522129,COLS
POWL,0,12.902582564491647,COLS
RICH,0,16.98240412860776,COLS
ROCK,0,8.492084651107477,COLS
SBRN,0,25.35529142170067,COLS
SFIA,0,27.338599058547626,COLS
SANL,0,2.926625392174407,COLS
SHAY,0,11.292314946082623,COLS
SSAN,0,22.96977238179911,COLS
UCTY,0,15.00415868962618,COLS
WCRK,0,19.512897053428105,COLS
WDUB,0,16.454672552227812,COLS
WOAK,0,6.473048014400919,COLS
12TH,0,15.895484575303888,COLM
16TH,0,6.623870810854719,COLM
19TH,0,16.217974084955863,COLM
24TH,0,5.737983774179175,COLM
ASHB,0,19.3413161384346,COLM
BALB,0,3.1039527957893984,COLM
BAYF,0,26.612202773525325,COLM
CAST,0,29.45856172786278,COLM
CIVC,0,7.673176404361312,COLM
COLS,0,21.109203114213376,COLM
COLM,0,0,COLM
CONC,0,35.20371598303353,COLM
DALY,0,1.489771267250229,COLM
DBRK,0,20.506818048544368,COLM
DUBL,0,39.08937719466623,COLM
DELN,0,25.41987205136634,COLM
PLZA,0,23.57711077365739,COLM
