"Orig","Dest","DrivingMiles","EuclidMiles","price","TransBay"
"COLM","PLZA",0,23.5771107736574,4.6,"TRUE"
"COLM","POWL",0,8.20662054972152,3.5,"FALSE"
"COLM","RICH",0,27.5282501642725,4.95,"TRUE"
"COLM","ROCK",0,19.0379306867722,4.3,"TRUE"
"COLM","SANL",0,24.0358285063878,4.8,"TRUE"
"COLM","SBRN",0,4.24608830748711,3.1,"FALSE"
"COLM","SFIA",0,6.22939594433406,7.7,"FALSE"
"COLM","SHAY",0,32.401518060296,5.55,"TRUE"
"COLM","SSAN",0,1.86056926758555,3.1,"FALSE"
"COLM","UCTY",0,36.1133618038396,6.05,"TRUE"
"COLM","WCRK",0,30.0587430890929,5.5,"TRUE"
"COLM","WDUB",0,37.5638756664412,6.2,"TRUE"
"COLM","WOAK",0,14.6361550998124,3.95,"TRUE"
"COLS","12TH",0,5.34963853963913,1.85,"FALSE"
"COLS","16TH",0,14.4853323033587,4.15,"TRUE"
"COLS","19TH",0,5.6721280492911,1.85,"FALSE"
"COLS","24TH",0,15.3712193400343,4.2,"TRUE"
"COLS","ASHB",0,8.79547010276984,2.35,"FALSE"
"COLS","BALB",0,18.0052503184241,4.4,"TRUE"
"COLS","BAYF",0,5.50299965931195,1.85,"FALSE"
"COLS","CAST",0,8.3493586136494,2.45,"FALSE"
"COLS","CIVC",0,13.4360267098519,4.05,"TRUE"
"COLS","COLM",0,21.1092031142136,4.5,"TRUE"
"COLS","COLS",0,0,5.55,"FALSE"
"COLS","CONC",0,24.6578699473688,4.25,"FALSE"
"COLS","DALY",0,19.6194318469633,4.55,"TRUE"
"COLS","DBRK",0,9.9609720128796,2.5,"FALSE"
