Station Pair ID,From,To,Miles, Fare ,Self,Airport,FromBaySide,ToBaySide,TransBay,SanMateo
30,12th St.,Pleasant Hill,17.71,3.35,0,0,E,E,0,0
31,12th St.,Powell,10.98,3.15,0,0,E,W,1,0
32,12th St.,Richmond,12.12,2.65,0,0,E,E,0,0
33,12th St.,Rockridge,3.9,1.75,0,0,E,E,0,0
34,12th St.,San Bruno,22.59,4.25,0,0,E,W,1,1
35,12th St.,SFIA,23.49,8.5,0,1,E,W,1,0
36,12th St.,San Leandro,9.47,2.3,0,0,E,E,0,0
37,12th St.,South Hayward,18.25,3.3,0,0,E,E,0,0
38,12th St.,South SF,21.92,4,0,0,E,W,1,1
39,12th St.,Union City,21.63,3.75,0,0,E,E,0,0
40,12th St.,Walnut Creek,16.05,3.2,0,0,E,E,0,0
41,12th St.,West Dublin,26.43,3.9,0,0,E,E,0,0
42,12th St.,West Oakland,1.9,1.75,0,0,E,E,0,0
43,16th St.,12th St.,12.41,3.3,0,0,W,E,1,0
44,16th St.,19th St.,11.88,3.3,0,0,W,E,1,0
45,16th St.,24th St.,0.89,1.75,0,0,W,W,0,0
46,16th St.,Ashby,12.3,3.7,0,0,W,E,1,0
47,16th St.,Balboa Park,3.97,1.75,0,0,W,W,0,0
48,16th St.,Bay Fair,24.34,4.45,0,0,W,E,1,0
49,16th St.,Castro Valley,26.55,4.7,0,0,W,E,1,0
50,16th St.,Civic Center,1.37,1.75,0,0,W,W,0,0
51,16th St.,Coliseum,17.94,3.95,0,0,W,E,1,0
52,16th St.,Colma,6.95,3.15,0,0,W,W,0,1
53,16th St.,Concord,30.68,5.4,0,0,W,E,1,0
54,16th St.,Daly City,6.01,2.8,0,0,W,W,0,1
55,16th St.,Berkeley,13.99,3.8,0,0,W,E,1,0
56,16th St.,Dublin/Pleasanton,36.5,5.7,0,0,W,E,1,0
57,16th St.,El Cerrito del Norte,16.53,4.2,0,0,W,E,1,0
58,16th St.,El Cerrito Plaza,15.21,4,0,0,W,E,1,0
