From,Miles,To
CIVC,7.5,DALY
CIVC,5.76,BALB
CIVC,4.09,GLEN
CIVC,2.2600000000000002,24TH
CIVC,1.37,16TH
CIVC,0,CIVC
CIVC,0.44,POWL
CIVC,0.85,MONT
CIVC,1.19,EMBR
CIVC,10.254999999999999,WOAK
CIVC,40.505,FRMT
CIVC,35.965,UCTY
CIVC,31.425,SHAY
CIVC,28.055,HAYW
CIVC,23.915,BAYF
CIVC,20.595,SANL
CIVC,17.485,COLS
CIVC,15.284999999999998,FTVL
CIVC,12.254999999999999,LAKE
CIVC,28.415,CAST
CIVC,37.665,WDUB
CIVC,40.045,DUBL
CIVC,12.014999999999999,12TH
CIVC,12.364999999999998,19TH
CIVC,14.284999999999998,MCAR
CIVC,16.154999999999998,ASHB
CIVC,17.824999999999996,DBRK
CIVC,18.954999999999995,NBRK
CIVC,22.334999999999994,PLZA
CIVC,24.674999999999994,DELN
CIVC,26.884999999999994,RICH
CIVC,16.055,ROCK
CIVC,21.405,ORIN
CIVC,25.915,LAFY
CIVC,29.835,WCRK
CIVC,32.185,PHIL
CIVC,37.035000000000004,CONC
CIVC,39.865,NCON
CIVC,45.535000000000004,PITT
POWL,19.98,MLBR
POWL,19.25,SFIA
POWL,15.19,SBRN
POWL,11.76,SSAN
POWL,9.85,COLM
POWL,7.94,DALY
POWL,6.2,BALB
POWL,4.53,GLEN
POWL,2.7,24TH
POWL,1.81,16TH
POWL,0.44,CIVC
POWL,0,POWL
POWL,0.41,MONT
POWL,0.75,EMBR
POWL,9.815,WOAK
POWL,40.065,FRMT
POWL,35.525,UCTY
POWL,30.985,SHAY
POWL,27.615,HAYW
POWL,23.474999999999998,BAYF
POWL,20.154999999999998,SANL
POWL,17.044999999999998,COLS
POWL,14.844999999999999,FTVL
POWL,11.815,LAKE
POWL,27.974999999999998,CAST
POWL,37.224999999999994,WDUB
POWL,39.605,DUBL
POWL,11.575,12TH
POWL,11.924999999999999,19TH
POWL,13.844999999999999,MCAR
POWL,15.715,ASHB
POWL,17.384999999999998,DBRK
POWL,18.514999999999997,NBRK
POWL,21.894999999999996,PLZA
POWL,24.234999999999996,DELN
POWL,26.444999999999997,RICH
POWL,15.614999999999998,ROCK
POWL,20.964999999999996,ORIN
POWL,25.474999999999994,LAFY
POWL,29.394999999999996,WCRK
POWL,31.744999999999997,PHIL
POWL,36.595,CONC
POWL,39.425,NCON
POWL,45.095,PITT
MONT,20.39,MLBR
MONT,19.66,SFIA
MONT,15.6,SBRN
MONT,12.17,SSAN
MONT,10.26,COLM
MONT,8.35,DALY
MONT,6.61,BALB
MONT,4.94,GLEN
MONT,3.1100000000000003,24TH
MONT,2.22,16TH
MONT,0.85,CIVC
MONT,0.41,POWL
MONT,0,MONT
MONT,0.34,EMBR
MONT,9.405,WOAK
MONT,39.655,FRMT
MONT,35.115,UCTY
MONT,30.575,SHAY
MONT,27.205,HAYW
MONT,23.064999999999998,BAYF
MONT,19.744999999999997,SANL
MONT,16.634999999999998,COLS
MONT,14.434999999999999,FTVL
MONT,11.405,LAKE
MONT,27.564999999999998,CAST
MONT,36.815,WDUB
MONT,39.195,DUBL
MONT,11.165,12TH
MONT,11.514999999999999,19TH
MONT,13.434999999999999,MCAR
MONT,15.305,ASHB
MONT,16.975,DBRK
MONT,18.105,NBRK
MONT,21.485,PLZA
MONT,23.825,DELN
MONT,26.035,RICH
MONT,15.204999999999998,ROCK
MONT,20.555,ORIN
MONT,25.064999999999998,LAFY
MONT,28.985,WCRK
MONT,31.335,PHIL
MONT,36.185,CONC
MONT,39.015,NCON
MONT,44.685,PITT
EMBR,20.73,MLBR
EMBR,20.0,SFIA
EMBR,15.94,SBRN
EMBR,12.51,SSAN
EMBR,10.6,COLM
EMBR,8.69,DALY
EMBR,6.95,BALB
EMBR,5.28,GLEN
EMBR,3.45,24TH
EMBR,2.56,16TH
EMBR,1.19,CIVC
EMBR,0.75,POWL
EMBR,0.34,MONT
EMBR,0,EMBR
EMBR,9.065,WOAK
EMBR,39.315,FRMT
EMBR,34.775,UCTY
EMBR,30.235,SHAY
EMBR,26.865,HAYW
EMBR,22.724999999999998,BAYF
EMBR,19.404999999999998,SANL
EMBR,16.294999999999998,COLS
EMBR,14.094999999999999,FTVL
EMBR,11.065,LAKE
EMBR,27.224999999999998,CAST
EMBR,36.474999999999994,WDUB
EMBR,38.855,DUBL
EMBR,10.825,12TH
EMBR,11.174999999999999,19TH
EMBR,13.094999999999999,MCAR
EMBR,14.965,ASHB
EMBR,16.634999999999998,DBRK
EMBR,17.764999999999997,NBRK
EMBR,21.144999999999996,PLZA
EMBR,23.484999999999996,DELN
EMBR,25.694999999999997,RICH
EMBR,14.864999999999998,ROCK
EMBR,20.214999999999996,ORIN
EMBR,24.724999999999994,LAFY
EMBR,28.644999999999996,WCRK
EMBR,30.994999999999997,PHIL
EMBR,35.845,CONC
EMBR,38.675,NCON
EMBR,44.345,PITT
WOAK,29.794999999999998,MLBR
WOAK,29.064999999999998,SFIA
WOAK,25.005,SBRN
WOAK,21.575,SSAN
WOAK,19.665,COLM
WOAK,17.755,DALY
WOAK,16.015,BALB
WOAK,14.345,GLEN
WOAK,12.515,24TH
WOAK,11.625,16TH
WOAK,10.254999999999999,CIVC
WOAK,9.815,POWL
WOAK,9.405,MONT
WOAK,9.065,EMBR
WOAK,0,WOAK
WOAK,30.25,FRMT
WOAK,25.71,UCTY
WOAK,21.17,SHAY
WOAK,17.8,HAYW
WOAK,13.66,BAYF
WOAK,10.34,SANL
WOAK,7.2299999999999995,COLS
WOAK,5.029999999999999,FTVL
WOAK,2.0,LAKE
WOAK,18.16,CAST
WOAK,27.41,WDUB
WOAK,29.79,DUBL
WOAK,1.76,12TH
WOAK,2.11,19TH
WOAK,4.029999999999999,MCAR
WOAK,5.8999999999999995,ASHB
WOAK,7.569999999999999,DBRK
WOAK,8.7,NBRK
WOAK,12.079999999999998,PLZA
WOAK,14.419999999999998,DELN
WOAK,16.63,RICH
WOAK,5.799999999999999,ROCK
WOAK,11.149999999999999,ORIN
WOAK,15.659999999999998,LAFY
WOAK,19.58,WCRK
WOAK,21.93,PHIL
WOAK,26.78,CONC
WOAK,29.61,NCON
WOAK,35.28,PITT
FRMT,60.04499999999999,MLBR
FRMT,59.31499999999999,SFIA
FRMT,55.25499999999999,SBRN
FRMT,51.82499999999999,SSAN
FRMT,49.91499999999999,COLM
FRMT,48.004999999999995,DALY
FRMT,46.26499999999999,BALB
FRMT,44.59499999999999,GLEN
FRMT,42.76499999999999,24TH
FRMT,41.87499999999999,16TH
FRMT,40.504999999999995,CIVC
FRMT,40.065,POWL
FRMT,39.655,MONT
FRMT,39.315,EMBR
FRMT,30.25,WOAK
FRMT,0,FRMT
FRMT,4.54,UCTY
FRMT,9.08,SHAY
FRMT,12.45,HAYW
FRMT,16.59,BAYF
FRMT,19.91,SANL
FRMT,23.02,COLS
FRMT,25.22,FTVL
FRMT,28.25,LAKE
FRMT,21.09,CAST
FRMT,30.34,WDUB
FRMT,32.72,DUBL
FRMT,28.91,12TH
FRMT,29.26,19TH
FRMT,31.18,MCAR
FRMT,33.05,ASHB
FRMT,34.72,DBRK
FRMT,35.85,NBRK
FRMT,39.230000000000004,PLZA
FRMT,41.57000000000001,DELN
FRMT,43.78000000000001,RICH
FRMT,32.95,ROCK
FRMT,38.300000000000004,ORIN
FRMT,42.81,LAFY
FRMT,46.730000000000004,WCRK
FRMT,49.080000000000005,PHIL
FRMT,53.93000000000001,CONC
FRMT,56.760000000000005,NCON
FRMT,62.43000000000001,PITT
UCTY,55.50499999999999,MLBR
UCTY,54.77499999999999,SFIA
UCTY,50.71499999999999,SBRN
UCTY,47.28499999999999,SSAN
UCTY,45.37499999999999,COLM
UCTY,43.464999999999996,DALY
UCTY,41.724999999999994,BALB
UCTY,40.05499999999999,GLEN
UCTY,38.224999999999994,24TH
UCTY,37.334999999999994,16TH
UCTY,35.964999999999996,CIVC
UCTY,35.525,POWL
UCTY,35.115,MONT
UCTY,34.775,EMBR
UCTY,25.71,WOAK
UCTY,4.54,FRMT
UCTY,0,UCTY
UCTY,4.54,SHAY
UCTY,7.91,HAYW
UCTY,12.05,BAYF
UCTY,15.370000000000001,SANL
UCTY,18.48,COLS
UCTY,20.68,FTVL
UCTY,23.71,LAKE
UCTY,16.55,CAST
UCTY,25.8,WDUB
UCTY,28.18,DUBL
UCTY,24.37,12TH
UCTY,24.720000000000002,19TH
UCTY,26.64,MCAR
UCTY,28.51,ASHB
UCTY,30.18,DBRK
UCTY,31.31,NBRK
UCTY,34.69,PLZA
UCTY,37.03,DELN
UCTY,39.24,RICH
UCTY,28.41,ROCK
UCTY,33.76,ORIN
UCTY,38.269999999999996,LAFY
UCTY,42.19,WCRK
UCTY,44.54,PHIL
UCTY,49.39,CONC
UCTY,52.22,NCON
UCTY,57.89,PITT
SHAY,50.964999999999996,MLBR
SHAY,50.235,SFIA
SHAY,46.175,SBRN
SHAY,42.745,SSAN
SHAY,40.835,COLM
SHAY,38.925000000000004,DALY
SHAY,37.185,BALB
SHAY,35.515,GLEN
SHAY,33.685,24TH
SHAY,32.795,16TH
SHAY,31.425,CIVC
SHAY,30.985,POWL
SHAY,30.575,MONT
SHAY,30.235,EMBR
SHAY,21.17,WOAK
SHAY,9.08,FRMT
SHAY,4.54,UCTY
SHAY,0,SHAY
SHAY,3.37,HAYW
SHAY,7.51,BAYF
SHAY,10.83,SANL
SHAY,13.94,COLS
SHAY,16.14,FTVL
SHAY,19.17,LAKE
SHAY,12.01,CAST
SHAY,21.259999999999998,WDUB
SHAY,23.639999999999997,DUBL
SHAY,19.830000000000002,12TH
SHAY,20.180000000000003,19TH
SHAY,22.1,MCAR
SHAY,23.970000000000002,ASHB
SHAY,25.64,DBRK
SHAY,26.77,NBRK
SHAY,30.15,PLZA
SHAY,32.489999999999995,DELN
SHAY,34.699999999999996,RICH
SHAY,23.87,ROCK
SHAY,29.22,ORIN
SHAY,33.73,LAFY
SHAY,37.65,WCRK
SHAY,40.0,PHIL
SHAY,44.85,CONC
SHAY,47.68,NCON
SHAY,53.35,PITT
HAYW,47.59499999999999,MLBR
HAYW,46.864999999999995,SFIA
HAYW,42.80499999999999,SBRN
HAYW,39.37499999999999,SSAN
HAYW,37.464999999999996,COLM
HAYW,35.555,DALY
HAYW,33.815,BALB
HAYW,32.144999999999996,GLEN
HAYW,30.314999999999998,24TH
HAYW,29.424999999999997,16TH
HAYW,28.054999999999996,CIVC
HAYW,27.614999999999995,POWL
HAYW,27.204999999999995,MONT
HAYW,26.864999999999995,EMBR
HAYW,17.799999999999997,WOAK
HAYW,12.45,FRMT
HAYW,7.91,UCTY
HAYW,3.37,SHAY
HAYW,0,HAYW
HAYW,4.14,BAYF
HAYW,7.459999999999999,SANL
HAYW,10.569999999999999,COLS
HAYW,12.77,FTVL
HAYW,15.799999999999999,LAKE
HAYW,8.64,CAST
HAYW,17.89,WDUB
HAYW,20.27,DUBL
HAYW,16.459999999999997,12TH
HAYW,16.81,19TH
HAYW,18.729999999999997,MCAR
HAYW,20.599999999999998,ASHB
HAYW,22.269999999999996,DBRK
HAYW,23.399999999999995,NBRK
HAYW,26.779999999999994,PLZA
HAYW,29.119999999999994,DELN
HAYW,31.329999999999995,RICH
HAYW,20.499999999999996,ROCK
HAYW,25.849999999999994,ORIN
HAYW,30.359999999999992,LAFY
HAYW,34.279999999999994,WCRK
HAYW,36.629999999999995,PHIL
HAYW,41.48,CONC
HAYW,44.309999999999995,NCON
HAYW,49.98,PITT
BAYF,43.455,MLBR
BAYF,42.725,SFIA
BAYF,38.665,SBRN
BAYF,35.235,SSAN
BAYF,33.325,COLM
BAYF,31.415000000000003,DALY
BAYF,29.675000000000004,BALB
BAYF,28.005000000000003,GLEN
BAYF,26.175,24TH
BAYF,25.285,16TH
BAYF,23.915,CIVC
BAYF,23.474999999999998,POWL
BAYF,23.064999999999998,MONT
BAYF,22.724999999999998,EMBR
BAYF,13.659999999999998,WOAK
BAYF,16.59,FRMT
BAYF,12.05,UCTY
BAYF,7.51,SHAY
BAYF,4.14,HAYW
BAYF,0,BAYF
BAYF,3.32,SANL
BAYF,6.43,COLS
BAYF,8.629999999999999,FTVL
BAYF,11.659999999999998,LAKE
BAYF,4.5,CAST
BAYF,13.75,WDUB
BAYF,16.13,DUBL
BAYF,12.319999999999999,12TH
BAYF,12.669999999999998,19TH
BAYF,14.589999999999998,MCAR
BAYF,16.459999999999997,ASHB
BAYF,18.129999999999995,DBRK
BAYF,19.259999999999994,NBRK
BAYF,22.639999999999993,PLZA
BAYF,24.979999999999993,DELN
BAYF,27.189999999999994,RICH
BAYF,16.36,ROCK
BAYF,21.71,ORIN
BAYF,26.22,LAFY
BAYF,30.14,WCRK
BAYF,32.49,PHIL
BAYF,37.34,CONC
BAYF,40.17,NCON
BAYF,45.84,PITT
SANL,40.135000000000005,MLBR
SANL,39.40500000000001,SFIA
SANL,35.345000000000006,SBRN
SANL,31.915000000000003,SSAN
SANL,30.005000000000003,COLM
SANL,28.095000000000002,DALY
SANL,26.355000000000004,BALB
SANL,24.685000000000002,GLEN
SANL,22.855000000000004,24TH
SANL,21.965000000000003,16TH
SANL,20.595000000000002,CIVC
SANL,20.155,POWL
SANL,19.745,MONT
SANL,19.405,EMBR
SANL,10.34,WOAK
SANL,19.909999999999997,FRMT
SANL,15.369999999999997,UCTY
SANL,10.829999999999998,SHAY
SANL,7.459999999999999,HAYW
SANL,3.32,BAYF
SANL,0,SANL
SANL,3.11,COLS
SANL,5.3100000000000005,FTVL
SANL,8.34,LAKE
SANL,7.82,CAST
SANL,17.07,WDUB
SANL,19.45,DUBL
SANL,9.0,12TH
SANL,9.35,19TH
SANL,11.27,MCAR
SANL,13.14,ASHB
SANL,14.81,DBRK
SANL,15.940000000000001,NBRK
SANL,19.32,PLZA
SANL,21.66,DELN
SANL,23.87,RICH
SANL,13.04,ROCK
SANL,18.39,ORIN
SANL,22.9,LAFY
SANL,26.82,WCRK
SANL,29.17,PHIL
SANL,34.02,CONC
SANL,36.85,NCON
SANL,42.52,PITT
COLS,37.025000000000006,MLBR
COLS,36.29500000000001,SFIA
COLS,32.23500000000001,SBRN
COLS,28.805000000000003,SSAN
COLS,26.895000000000003,COLM
COLS,24.985000000000003,DALY
COLS,23.245000000000005,BALB
COLS,21.575000000000003,GLEN
COLS,19.745000000000005,24TH
COLS,18.855000000000004,16TH
COLS,17.485000000000003,CIVC
COLS,17.045,POWL
COLS,16.635,MONT
COLS,16.295,EMBR
COLS,7.23,WOAK
COLS,23.02,FRMT
COLS,18.48,UCTY
COLS,13.940000000000001,SHAY
COLS,10.57,HAYW
COLS,6.43,BAYF
COLS,3.11,SANL
COLS,0,COLS
COLS,2.2,FTVL
COLS,5.23,LAKE
COLS,10.93,CAST
COLS,20.18,WDUB
COLS,22.56,DUBL
COLS,5.890000000000001,12TH
COLS,6.24,19TH
COLS,8.16,MCAR
COLS,10.030000000000001,ASHB
COLS,11.700000000000001,DBRK
